"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4784,"Baseline","Younger","F",4127,8,"E","No","320","317","No","0.7","No","No","L","52","3:00/4:05","032124A","75001L04",118,"",109.424815577513,28.9459367545101,0.264528083522386,24.7724239641354,165005.414112106,15.1932422911505,1507.93413030906
4785,"Baseline","Younger","F",4124,9,"E","No","No","No","No","No","No","No","No","No","3:00/5:35","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4787,"Baseline","Younger","M",4124,10,"B","No","No","No","No","No","No","No","U","50","3:00","032024A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4788,"Baseline","Younger","M",4432,10,"B","No","258","212","No","0.3","No","No","U","54","3:00","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4791,"Baseline","Younger","M",4127,9,"B","No","263","210","No","0.4","No","No","No","No","1:54","032124A","75001L04",114,"plasma tubes moved around in centrifuge",NA,NA,NA,NA,NA,NA,NA
4792,"Baseline","Younger","F",4168,10,"B","No","198","195","No","0.5","No","No","U/L","56","2:23","032024A","75001L04",118,"",117.671519902777,60.4338314019861,0.513580783624771,24.6742961031298,123224.762152387,15.6800210055733,1047.19274684476
4795,"Baseline","Younger","F",4432,10,"D","No","207","194","No","0.5","No","No","L","52","2:34","032024A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4797,"Baseline","Younger","F",4388,9,"B","No","215","215","No","0.4","No","No","U","53","1:50","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4798,"Baseline","Younger","F",4168,10,"D","Yes","235","227","No","0.6","No","No","L","52","3:00/4:18","032124A","75001L04",114,"",120.387036213748,71.404722175794,0.593126340023974,24.6375474924708,192177.355255881,14.9471926423573,1596.32931667716
4800,"Baseline","Younger","M",4594,12,"B","No","225","No","No","No","No","No","U/L","52","3:00/4:15","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4802,"Baseline","Younger","F",4594,10,"B","Yes","169","171","No","0.4","No","No","U ","52","1:49","032124A","75001L04",114,"",233.075745027077,72.8484454030028,0.312552665634684,23.7119101571009,119619.503317902,15.7500269677233,513.221585128927
4803,"Baseline","Younger","M",4594,12,"B","No","No","No","No","No","No","No","U/L","54","3:00","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4804,"Baseline","Younger","M",4601,12,"B","No","No","No","No","No","No","No","U/L","56","3:00","032124A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4805,"Baseline","Younger","F",4601,11,"C","No","234","266","242","0.5","0.4","No","U","50","2:35","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4809,"Baseline","Younger","F",4601,11,"B","No","182","185","No","0.6","0.6","No","U","57","1:26","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4810,"Baseline","Younger","F",4601,12,"B","Yes","201","185","No","0.6","No","No","U/L","54","1:35","032124A","75001L04",114,"",85.1995623790223,15.2212364616154,0.178653927750257,25.124286599752,94429.1926546218,16.1243373086207,1108.32955026858
4814,"Baseline","Younger","F",4184,11,"C","No","174","140","No","0.7","0.6","No","U/L","55","2:50","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4816,"Baseline","Younger","M",4340,12,"B","No","249","256","No","0.3","No","No","U","50","2:04","032124A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4817,"Baseline","Younger","F",NA,12,"B","Yes","237","249","No","0.3","No","No","U","54","2:05","032124A","75001L04",118,"",166.995637448865,48.9842316693253,0.293326415094673,24.1803854958867,155622.584324229,15.2906982860774,931.896106399076
